frame,time_s,X_m,Y_m,Z_m,distance_m,radius_px,cx_px,cy_px,source
168,5.5667,1.0097,-0.6860,5.9228,6.0473,17.2947,798.7509,252.1498,yolo
169,5.6000,1.0601,-0.6395,5.7985,5.9292,17.6652,810.2462,257.3066,yolo
170,5.6333,1.1008,-0.5828,5.6152,5.7517,18.2419,822.5475,263.3468,yolo
171,5.6667,1.1542,-0.5306,5.4666,5.6123,18.7378,836.6060,269.6234,yolo
172,5.7000,1.2047,-0.4771,5.3094,5.4653,19.2925,851.2940,276.3144,yolo
173,5.7333,1.2724,-0.4329,5.2110,5.3815,19.6572,867.3885,282.6435,yolo
174,5.7667,1.3307,-0.3870,5.0945,5.2796,20.1066,883.2269,289.2557,yolo
175,5.8000,1.3772,-0.3373,4.9263,5.1263,20.7930,900.3239,296.2327,yolo
176,5.8333,1.3940,-0.2883,4.7272,4.9368,21.6690,914.6055,303.2128,yolo
177,5.8667,1.4422,-0.2458,4.6341,4.8596,22.1040,929.8034,310.5988,yolo
178,5.9000,1.4251,-0.1967,4.4454,4.6724,23.0425,938.5247,318.7958,yolo
179,5.9333,1.4453,-0.1572,4.3806,4.6155,23.3835,947.2373,326.5751,yolo
180,5.9667,1.4252,-0.1187,4.2996,4.5312,23.8238,948.6653,334.2920,yolo
181,6.0000,1.4067,-0.0773,4.2269,4.4555,24.2335,949.8930,342.9797,yolo
182,6.0333,1.3537,-0.0405,4.1410,4.3569,24.7360,944.4036,350.8923,yolo
183,6.0667,1.2945,-0.0010,4.0409,4.2432,25.3491,938.3087,359.7609,yolo
184,6.1000,1.2336,0.0329,3.9903,4.1767,25.6707,927.8861,367.6857,yolo
185,6.1333,1.1677,0.0672,3.9461,4.1158,25.9581,915.5545,375.8495,yolo
186,6.1667,1.0894,0.1009,3.8647,4.0166,26.5046,902.4872,384.3171,yolo
187,6.2000,1.0040,0.1340,3.7922,3.9251,27.0114,886.5349,392.8955,yolo
188,6.2333,0.9260,0.1692,3.7372,3.8539,27.4088,870.7276,402.1498,yolo
189,6.2667,0.8354,0.2014,3.6403,3.7403,28.1387,853.6966,411.5079,yolo
190,6.3000,0.7694,0.2403,3.6175,3.7063,28.3155,838.0452,421.8600,yolo
191,6.3333,0.6850,0.2726,3.5368,3.6128,28.9620,820.3426,431.7702,yolo
192,6.3667,0.6080,0.3074,3.4392,3.5060,29.7843,804.6225,443.2451,yolo
193,6.4000,0.5388,0.3433,3.3771,3.4370,30.3319,788.5656,454.6565,yolo
194,6.4333,0.4715,0.3829,3.3132,3.3684,30.9163,772.5126,467.6264,yolo
195,6.4667,0.4105,0.4207,3.2465,3.2993,31.5513,757.7484,480.6591,yolo
196,6.5000,0.3510,0.4616,3.1671,3.2197,32.3430,743.2013,495.7138,yolo
197,6.5333,0.2933,0.4944,3.0701,3.1234,33.3650,728.9758,509.9595,yolo
198,6.5667,0.2372,0.5325,2.9796,3.0361,34.3784,714.1391,526.4286,yolo
