frame,time_s,det_cx,det_cy,det_radius_px,det_confidence,det_source,kf_cx,kf_cy,kf_vx,kf_vy,kf_uncertainty
156,5.1667,723.95,223.52,13.47,0.819,yolo,716.22,223.52,32.68,1.04,1.44
157,5.2000,732.42,222.82,13.21,0.823,yolo,723.61,223.25,48.99,0.25,1.44
158,5.2333,738.23,221.67,14.75,0.790,yolo,730.65,222.59,63.03,-1.46,1.44
159,5.2667,744.25,219.83,14.23,0.727,yolo,737.54,221.41,75.44,-4.39,1.44
160,5.3000,751.20,219.85,16.16,0.724,yolo,744.70,220.68,87.48,-5.92,1.44
161,5.3333,754.88,220.30,15.67,0.810,yolo,750.64,220.40,95.32,-6.12,1.44
162,5.3667,765.07,224.34,17.67,0.792,yolo,758.51,221.93,107.47,-1.65,1.44
163,5.4000,768.73,229.33,15.89,0.660,yolo,764.86,224.98,114.64,6.41,1.44
164,5.4333,780.44,236.02,15.67,0.798,yolo,773.58,229.70,127.34,18.11,1.44
165,5.4667,786.67,242.62,16.15,0.895,yolo,781.51,235.44,136.90,31.41,1.44
166,5.5000,799.61,246.39,16.08,0.790,yolo,791.71,240.61,151.52,42.10,1.44
167,5.5333,810.05,252.37,17.27,0.824,yolo,802.30,246.33,165.86,53.28,1.44
168,5.5667,822.51,257.17,17.91,0.778,yolo,813.95,251.88,181.72,63.07,1.44
169,5.6000,835.43,262.09,17.95,0.860,yolo,826.43,257.36,198.38,71.82,1.44
170,5.6333,851.73,269.49,18.79,0.849,yolo,840.83,263.81,218.56,82.33,1.44
171,5.6667,865.27,275.56,19.15,0.846,yolo,855.27,270.31,237.09,92.06,1.44
172,5.7000,882.51,282.13,19.75,0.809,yolo,871.23,277.03,257.97,101.52,1.44
173,5.7333,897.95,287.71,19.84,0.837,yolo,887.38,283.45,277.54,109.40,1.44
174,5.7667,915.94,294.53,20.39,0.823,yolo,904.68,290.19,298.40,117.43,1.44
175,5.8000,927.03,301.49,21.38,0.880,yolo,919.80,297.19,311.81,125.40,1.44
176,5.8333,940.20,308.80,22.47,0.803,yolo,934.36,304.46,322.62,133.43,1.44
177,5.8667,942.93,316.08,22.27,0.887,yolo,944.20,311.90,320.26,141.17,1.44
178,5.9000,947.86,324.42,23.87,0.837,yolo,951.95,319.86,312.68,149.62,1.44
179,5.9333,943.65,330.57,23.36,0.853,yolo,954.57,327.23,292.45,155.79,1.44
180,5.9667,941.50,339.13,23.94,0.817,yolo,954.81,335.22,267.81,163.03,1.44
181,6.0000,933.04,346.72,24.30,0.842,yolo,950.95,343.18,234.65,169.58,1.44
182,6.0333,924.82,355.14,24.92,0.835,yolo,944.62,351.46,197.99,176.39,1.44
183,6.0667,914.05,362.46,25.67,0.853,yolo,935.73,359.47,157.83,181.92,1.44
184,6.1000,899.23,369.69,25.59,0.867,yolo,923.59,367.27,112.72,186.40,1.44
185,6.1333,886.52,376.88,25.83,0.804,yolo,910.33,374.90,68.63,190.08,1.44
186,6.1667,871.75,387.64,26.73,0.913,yolo,895.59,383.90,24.49,197.00,1.44
187,6.2000,857.98,396.39,27.17,0.869,yolo,880.39,392.94,-17.01,203.39,1.44
188,6.2333,841.06,406.01,27.41,0.895,yolo,863.67,402.34,-58.88,210.18,1.44
189,6.2667,826.79,414.14,28.59,0.888,yolo,847.16,411.34,-96.60,215.37,1.44
190,6.3000,812.64,425.03,28.00,0.867,yolo,830.89,421.24,-130.40,222.40,1.44
191,6.3333,797.81,435.25,29.29,0.839,yolo,814.57,431.40,-161.44,229.53,1.44
192,6.3667,783.75,448.27,30.33,0.887,yolo,798.59,442.89,-188.92,239.49,1.44
193,6.4000,769.01,459.44,30.48,0.852,yolo,782.59,454.44,-214.06,248.73,1.44
194,6.4333,757.45,473.08,31.10,0.884,yolo,767.95,467.04,-233.50,259.91,1.44
195,6.4667,744.64,485.80,31.80,0.899,yolo,753.70,479.91,-250.27,270.81,1.44
196,6.5000,732.47,502.04,32.78,0.897,yolo,739.99,494.40,-264.19,284.96,1.44
